iter	Passed	Remaining
896	7577	870
897	7585	861
898	7594	853
899	7601	844
900	7610	836
901	7617	827
902	7627	819
903	7639	811
904	7648	802
905	7656	794
906	7663	785
907	7672	777
908	7679	768
909	7688	760
910	7697	752
911	7707	743
912	7716	735
913	7725	726
914	7733	718
915	7741	709
916	7749	701
917	7756	692
918	7764	684
919	7772	675
920	7782	667
921	7791	659
922	7799	650
923	7808	642
924	7815	633
925	7825	625
926	7832	616
927	7838	608
928	7846	599
929	7852	591
930	7859	582
931	7869	574
932	7876	565
933	7885	557
934	7892	548
935	7900	540
936	7907	531
937	7913	523
938	7920	514
939	7927	506
940	7935	497
941	7942	489
942	7949	480
943	7958	472
944	7967	463
945	7976	455
946	7984	446
947	7991	438
948	7999	429
949	8007	421
950	8016	413
951	8023	404
952	8031	396
953	8039	387
954	8047	379
955	8055	370
956	8063	362
957	8072	353
958	8080	345
959	8090	337
960	8097	328
961	8106	320
962	8112	311
963	8119	303
964	8125	294
965	8132	286
966	8138	277
967	8144	269
968	8151	260
969	8158	252
970	8165	243
971	8171	235
972	8180	227
973	8189	218
974	8197	210
975	8205	201
976	8213	193
977	8223	184
978	8230	176
979	8238	168
980	8246	159
981	8253	151
982	8262	142
983	8272	134
984	8281	126
985	8289	117
986	8296	109
987	8304	100
988	8311	92
989	8319	84
990	8326	75
991	8334	67
992	8342	58
993	8349	50
994	8357	41
995	8364	33
996	8372	25
997	8378	16
998	8385	8
999	8392	0
